tax_code,year,section,level,group,name,slug,unit,code_ul,code_fl,col_ul,col_fl,sort_order
tn,2006,1,0,,"Количество налогоплательщиков, которым(и) начислен налог к уплате в бюджет, единиц",s1--количество-налогоплательщиков-которым-и-начислен-налог-к-уплате-в-бюджет-единиц,единиц,010,010,1,2,1
tn,2006,2,0,,"Количество транспортных средств в базе данных налогового органа - всего, единиц, в том числе:",s2--количество-транспортных-средств-в-базе-данных-налогового-органа-всего-единиц-в-том-числе,единиц,020,020,1,2,2
tn,2006,2,1,,наземных транспортных средств,s2--наземных-транспортных-средств,единиц,030,030,1,2,3
tn,2006,2,1,,из них зарегистрированных в подразделениях Госавтоинспекции МВД России,s2--из-них-зарегистрированных-в-подразделениях-госавтоинспекции-мвд-россии,единиц,040,040,1,2,4
tn,2006,2,1,,водных транспортных средств,s2--водных-транспортных-средств,единиц,050,050,1,2,5
tn,2006,2,1,,воздушных транспортных средств,s2--воздушных-транспортных-средств,единиц,060,060,1,2,6
tn,2006,3,0,,"Количество транспортных средств, по которым начислен налог к уплате в бюджет - всего, единиц, в том числе:",s3--количество-транспортных-средств-по-которым-начислен-налог-к-уплате-в-бюджет-всего-единиц-в-том-числе,единиц,070,070,1,2,7
tn,2006,3,1,,наземных транспортных средств,s3--наземных-транспортных-средств,единиц,080,080,1,2,8
tn,2006,3,1,,из них зарегистрированных в подразделениях Госавтоинспекции МВД России,s3--из-них-зарегистрированных-в-подразделениях-госавтоинспекции-мвд-россии,единиц,090,090,1,2,9
tn,2006,3,1,,водных транспортных средств,s3--водных-транспортных-средств,единиц,100,100,1,2,10
tn,2006,3,1,,воздушных транспортных средств,s3--воздушных-транспортных-средств,единиц,110,110,1,2,11
tn,2006,4,0,,"Сумма налога, подлежащая уплате в бюджет - всего, тыс. руб.., в том числе:",s4--сумма-налога-подлежащая-уплате-в-бюджет-всего-тыс-руб-в-том-числе,тыс. руб.,120,120,1,2,12
tn,2006,4,1,,по наземным транспортным средствам,s4--по-наземным-транспортным-средствам,тыс. руб.,130,130,1,2,13
tn,2006,4,1,,по водным транспортным средствам,s4--по-водным-транспортным-средствам,тыс. руб.,140,140,1,2,14
tn,2006,4,1,,по воздушным транспортным средствам,s4--по-воздушным-транспортным-средствам,тыс. руб.,150,150,1,2,15
tn,2006,5,0,,"Сумма налога, не поступившая в бюджет в связи с предоставлением налогоплательщикам налоговых льгот, в том числе:",s5--сумма-налога-не-поступившая-в-бюджет-в-связи-с-предоставлением-налогоплательщикам-налоговых-льгот-в-том-числе,тыс. руб.,200,200,1,2,16
tn,2007,1,0,,"Количество налогоплательщиков, которым(и) начислен налог к уплате в бюджет, единиц",s1--количество-налогоплательщиков-которым-и-начислен-налог-к-уплате-в-бюджет-единиц,единиц,1010,2010,,,1
tn,2007,2,0,,"Количество транспортных средств в базе данных налогового органа - всего, единиц, в том числе:",s2--количество-транспортных-средств-в-базе-данных-налогового-органа-всего-единиц-в-том-числе,единиц,1020,2020,,,2
tn,2007,2,1,,наземных транспортных средств,s2--наземных-транспортных-средств,единиц,1030,2030,,,3
tn,2007,2,1,,из них зарегистрированных в подразделениях Госавтоинспекции МВД России,s2--из-них-зарегистрированных-в-подразделениях-госавтоинспекции-мвд-россии,единиц,1040,2040,,,4
tn,2007,2,1,,водных транспортных средств,s2--водных-транспортных-средств,единиц,1050,2050,,,5
tn,2007,2,1,,воздушных транспортных средств,s2--воздушных-транспортных-средств,единиц,1060,2060,,,6
tn,2007,3,0,,"Количество транспортных средств, по которым начислен налог к уплате в бюджет - всего, единиц, в том числе:",s3--количество-транспортных-средств-по-которым-начислен-налог-к-уплате-в-бюджет-всего-единиц-в-том-числе,единиц,1070,2070,,,7
tn,2007,3,1,,наземных транспортных средств,s3--наземных-транспортных-средств,единиц,1080,2080,,,8
tn,2007,3,1,,из них зарегистрированных в подразделениях Госавтоинспекции МВД России,s3--из-них-зарегистрированных-в-подразделениях-госавтоинспекции-мвд-россии,единиц,1090,2090,,,9
tn,2007,3,1,,водных транспортных средств,s3--водных-транспортных-средств,единиц,1100,2100,,,10
tn,2007,3,1,,воздушных транспортных средств,s3--воздушных-транспортных-средств,единиц,1110,2110,,,11
tn,2007,4,0,,"Сумма налога, подлежащая уплате в бюджет - всего, тыс. руб.., в том числе:",s4--сумма-налога-подлежащая-уплате-в-бюджет-всего-тыс-руб-в-том-числе,тыс. руб.,1120,2120,,,12
tn,2007,4,1,,по наземным транспортным средствам,s4--по-наземным-транспортным-средствам,тыс. руб.,1130,2130,,,13
tn,2007,4,1,,по водным транспортным средствам,s4--по-водным-транспортным-средствам,тыс. руб.,1140,2140,,,14
tn,2007,4,1,,по воздушным транспортным средствам,s4--по-воздушным-транспортным-средствам,тыс. руб.,1150,2150,,,15
tn,2007,5,0,,"Сумма налога, не поступившая в бюджет в связи с предоставлением налогоплательщикам налоговых льгот, в том числе:",s5--сумма-налога-не-поступившая-в-бюджет-в-связи-с-предоставлением-налогоплательщикам-налоговых-льгот-в-том-числе,тыс. руб.,1200,2200,,,16
tn,2008,1,0,,"Количество налогоплательщиков, которым(и) начислен налог к уплате в бюджет, единиц",s1--количество-налогоплательщиков-которым-и-начислен-налог-к-уплате-в-бюджет-единиц,единиц,1010,2010,,,1
tn,2008,2,0,,"Количество транспортных средств в базе данных налогового органа - всего, единиц, в том числе:",s2--количество-транспортных-средств-в-базе-данных-налогового-органа-всего-единиц-в-том-числе,единиц,1020,2020,,,2
tn,2008,2,1,,наземных транспортных средств,s2--наземных-транспортных-средств,единиц,1030,2030,,,3
