code,name,short_name,federal_district,kind,valid_from,valid_to,note
00,Российская Федерация,РФ,,aggregate,,,Агрегат «в целом по России»
01,Республика Адыгея,Адыгея,ЮФО,subject,,,
02,Республика Башкортостан,Башкортостан,ПФО,subject,,,
03,Республика Бурятия,Бурятия,ДФО,subject,,,С 2018 г. в составе ДФО (ранее СФО)
04,Республика Алтай,Алтай,СФО,subject,,,
05,Республика Дагестан,Дагестан,СКФО,subject,,,
06,Республика Ингушетия,Ингушетия,СКФО,subject,,,
07,Кабардино-Балкарская Республика,Кабардино-Балкария,СКФО,subject,,,
08,Республика Калмыкия,Калмыкия,ЮФО,subject,,,
09,Карачаево-Черкесская Республика,Карачаево-Черкесия,СКФО,subject,,,
10,Республика Карелия,Карелия,СЗФО,subject,,,
11,Республика Коми,Коми,СЗФО,subject,,,
12,Республика Марий Эл,Марий Эл,ПФО,subject,,,
13,Республика Мордовия,Мордовия,ПФО,subject,,,
14,Республика Саха (Якутия),Якутия,ДФО,subject,,,
15,Республика Северная Осетия — Алания,Северная Осетия,СКФО,subject,,,
16,Республика Татарстан,Татарстан,ПФО,subject,,,
17,Республика Тыва,Тыва,СФО,subject,,,
18,Удмуртская Республика,Удмуртия,ПФО,subject,,,
19,Республика Хакасия,Хакасия,СФО,subject,,,
20,Чеченская Республика,Чечня,СКФО,subject,,,
21,Чувашская Республика,Чувашия,ПФО,subject,,,
22,Алтайский край,Алтайский край,СФО,subject,,,
23,Краснодарский край,Краснодарский край,ЮФО,subject,,,
24,Красноярский край,Красноярский край,СФО,subject,,,
25,Приморский край,Приморский край,ДФО,subject,,,
26,Ставропольский край,Ставропольский край,СКФО,subject,,,
27,Хабаровский край,Хабаровский край,ДФО,subject,,,
28,Амурская область,Амурская обл.,ДФО,subject,,,
29,Архангельская область,Архангельская обл.,СЗФО,subject,,,
30,Астраханская область,Астраханская обл.,ЮФО,subject,,,
31,Белгородская область,Белгородская обл.,ЦФО,subject,,,
32,Брянская область,Брянская обл.,ЦФО,subject,,,
33,Владимирская область,Владимирская обл.,ЦФО,subject,,,
34,Волгоградская область,Волгоградская обл.,ЮФО,subject,,,
35,Вологодская область,Вологодская обл.,СЗФО,subject,,,
36,Воронежская область,Воронежская обл.,ЦФО,subject,,,
37,Ивановская область,Ивановская обл.,ЦФО,subject,,,
38,Иркутская область,Иркутская обл.,СФО,subject,,,
39,Калининградская область,Калининградская обл.,СЗФО,subject,,,
40,Калужская область,Калужская обл.,ЦФО,subject,,,
41,Камчатский край,Камчатский край,ДФО,subject,,,
42,Кемеровская область — Кузбасс,Кузбасс,СФО,subject,,,
43,Кировская область,Кировская обл.,ПФО,subject,,,
44,Костромская область,Костромская обл.,ЦФО,subject,,,
45,Курганская область,Курганская обл.,УФО,subject,,,
46,Курская область,Курская обл.,ЦФО,subject,,,
47,Ленинградская область,Ленинградская обл.,СЗФО,subject,,,
48,Липецкая область,Липецкая обл.,ЦФО,subject,,,
49,Магаданская область,Магаданская обл.,ДФО,subject,,,
50,Московская область,Московская обл.,ЦФО,subject,,,
51,Мурманская область,Мурманская обл.,СЗФО,subject,,,
52,Нижегородская область,Нижегородская обл.,ПФО,subject,,,
53,Новгородская область,Новгородская обл.,СЗФО,subject,,,
54,Новосибирская область,Новосибирская обл.,СФО,subject,,,
55,Омская область,Омская обл.,СФО,subject,,,
56,Оренбургская область,Оренбургская обл.,ПФО,subject,,,
57,Орловская область,Орловская обл.,ЦФО,subject,,,
58,Пензенская область,Пензенская обл.,ПФО,subject,,,
59,Пермский край,Пермский край,ПФО,subject,,,
60,Псковская область,Псковская обл.,СЗФО,subject,,,
61,Ростовская область,Ростовская обл.,ЮФО,subject,,,
62,Рязанская область,Рязанская обл.,ЦФО,subject,,,
63,Самарская область,Самарская обл.,ПФО,subject,,,
64,Саратовская область,Саратовская обл.,ПФО,subject,,,
65,Сахалинская область,Сахалинская обл.,ДФО,subject,,,
66,Свердловская область,Свердловская обл.,УФО,subject,,,
67,Смоленская область,Смоленская обл.,ЦФО,subject,,,
68,Тамбовская область,Тамбовская обл.,ЦФО,subject,,,
69,Тверская область,Тверская обл.,ЦФО,subject,,,
70,Томская область,Томская обл.,СФО,subject,,,
71,Тульская область,Тульская обл.,ЦФО,subject,,,
72,Тюменская область,Тюменская обл.,УФО,subject,,,
73,Ульяновская область,Ульяновская обл.,ПФО,subject,,,
74,Челябинская область,Челябинская обл.,УФО,subject,,,
75,Забайкальский край,Забайкальский край,ДФО,subject,,,"С 2008 г.; ранее — Читинская обл. и Агинский Бурятский АО. В ДФО с 2018 г."
76,Ярославская область,Ярославская обл.,ЦФО,subject,,,
77,город Москва,Москва,ЦФО,subject,,,
78,город Санкт-Петербург,Санкт-Петербург,СЗФО,subject,,,
79,Еврейская автономная область,ЕАО,ДФО,subject,,,
80,Агинский Бурятский автономный округ,Агинский Бурятский АО,СФО,subject,,2007,Упразднён 01.03.2008 (вошёл в Забайкальский край)
81,Коми-Пермяцкий автономный округ,Коми-Пермяцкий АО,ПФО,subject,,2005,Упразднён 01.12.2005 (вошёл в Пермский край)
82,Республика Крым,Крым,ЮФО,subject,2014,,"В части выгрузок ФНС встречается код 91"
83,Ненецкий автономный округ,НАО,СЗФО,subject,,,
84,Таймырский (Долгано-Ненецкий) автономный округ,Таймырский АО,СФО,subject,,2006,Упразднён 01.01.2007 (вошёл в Красноярский край)
85,Эвенкийский автономный округ,Эвенкийский АО,СФО,subject,,2006,Упразднён 01.01.2007 (вошёл в Красноярский край)
86,Ханты-Мансийский автономный округ — Югра,ХМАО — Югра,УФО,subject,,,
87,Чукотский автономный округ,Чукотский АО,ДФО,subject,,,
88,Усть-Ордынский Бурятский автономный округ,Усть-Ордынский Бурятский АО,СФО,subject,,2007,Упразднён 01.01.2008 (вошёл в Иркутскую область)
89,Ямало-Ненецкий автономный округ,ЯНАО,УФО,subject,,,
91,Республика Крым,Крым,ЮФО,subject,2014,,"Код налоговых органов Крыма (91xx); дублирует код 82"
92,город Севастополь,Севастополь,ЮФО,subject,2014,,
93,Донецкая Народная Республика,ДНР,ЮФО,subject,2022,,"Проверьте код в выгрузке ФНС: встречается как 93 (по коду налогового органа 9300)"
94,Луганская Народная Республика,ЛНР,ЮФО,subject,2022,,"Проверьте код в выгрузке ФНС: встречается как 94"
95,Запорожская область,Запорожская обл.,ЮФО,subject,2022,,"Проверьте код в выгрузке ФНС: встречается как 95"
96,Херсонская область,Херсонская обл.,ЮФО,subject,2022,,"Проверьте код в выгрузке ФНС: встречается как 96"
99,город Байконур,Байконур,,subject,,,"Территория, обслуживаемая отдельным налоговым органом"
